
Step :6800, avg score : -1.0, avg_cover_radius :  94.49, avg_sent_package:  50.22
Step :6825, avg score : -1.2, avg_cover_radius :  93.77, avg_sent_package:  49.51
Step :6850, avg score : -0.9, avg_cover_radius :  95.65, avg_sent_package:  49.62
Step :6875, avg score : -1.3, avg_cover_radius :  91.70, avg_sent_package:  49.15
Step :6900, avg score : -1.7, avg_cover_radius :  90.43, avg_sent_package:  49.31
Step :6925, avg score : -1.5, avg_cover_radius :  92.13, avg_sent_package:  50.02
Step :6950, avg score : -1.3, avg_cover_radius :  91.42, avg_sent_package:  49.59
Step :6975, avg score : -1.7, avg_cover_radius :  88.95, avg_sent_package:  49.68
Step :7000, avg score : -1.4, avg_cover_radius :  90.77, avg_sent_package:  49.49
Step :7025, avg score : -1.4, avg_cover_radius :  93.20, avg_sent_package:  50.75
Step :7050, avg score : -0.9, avg_cover_radius :  94.58, avg_sent_package:  49.86
Step :7075, avg score : -1.2, avg_cover_radius :  92.97, avg_sent_package:  50.90
Step :7100, avg score : -1.1, avg_cover_radius :  94.93, avg_sent_package:  49.46
Step :7125, avg score : -1.1, avg_cover_radius :  94.33, avg_sent_package:  49.95
Step :7150, avg score : -0.8, avg_cover_radius :  96.78, avg_sent_package:  50.53
Step :7175, avg score : -1.1, avg_cover_radius :  95.00, avg_sent_package:  50.47
Step :7200, avg score : -0.9, avg_cover_radius :  93.76, avg_sent_package:  49.13
Step :7225, avg score : -1.3, avg_cover_radius :  92.60, avg_sent_package:  49.60
Step :7250, avg score : -1.2, avg_cover_radius :  92.69, avg_sent_package:  50.34
Step :7275, avg score : -1.2, avg_cover_radius :  90.70, avg_sent_package:  50.11
Step :7300, avg score : -1.0, avg_cover_radius :  95.92, avg_sent_package:  50.25
Step :7325, avg score : -1.3, avg_cover_radius :  94.61, avg_sent_package:  51.11
Step :7350, avg score : -1.4, avg_cover_radius :  92.92, avg_sent_package:  50.39
Step :7375, avg score : -1.3, avg_cover_radius :  92.39, avg_sent_package:  49.45
Step :7400, avg score : -1.3, avg_cover_radius :  90.54, avg_sent_package:  50.94
Step :7425, avg score : -1.2, avg_cover_radius :  94.26, avg_sent_package:  50.52
Step :7450, avg score : -0.8, avg_cover_radius :  96.45, avg_sent_package:  50.69
Step :7475, avg score : -1.5, avg_cover_radius :  90.59, avg_sent_package:  50.71
Step :7500, avg score : -1.1, avg_cover_radius :  94.02, avg_sent_package:  50.12
Step :7525, avg score : -1.1, avg_cover_radius :  92.65, avg_sent_package:  49.64
Step :7550, avg score : -1.2, avg_cover_radius :  94.20, avg_sent_package:  49.48
Step :7575, avg score : -1.2, avg_cover_radius :  92.03, avg_sent_package:  50.63
Step :7600, avg score : -1.1, avg_cover_radius :  94.87, avg_sent_package:  50.36
Step :7625, avg score : -1.1, avg_cover_radius :  96.60, avg_sent_package:  51.50
Step :7650, avg score : -1.0, avg_cover_radius :  95.25, avg_sent_package:  49.57
Step :7675, avg score : -1.1, avg_cover_radius :  93.38, avg_sent_package:  50.85
Step :7700, avg score : -1.1, avg_cover_radius :  93.40, avg_sent_package:  49.30
Step :7725, avg score : -1.0, avg_cover_radius :  93.70, avg_sent_package:  49.48
Step :7750, avg score : -1.1, avg_cover_radius :  94.02, avg_sent_package:  50.72
Step :7775, avg score : -1.4, avg_cover_radius :  91.13, avg_sent_package:  51.29
Step :7800, avg score : -0.8, avg_cover_radius :  95.98, avg_sent_package:  49.64
Step :7825, avg score : -1.0, avg_cover_radius :  95.36, avg_sent_package:  51.07
Step :7850, avg score : -1.1, avg_cover_radius :  94.47, avg_sent_package:  50.34
Step :7875, avg score : -1.2, avg_cover_radius :  94.17, avg_sent_package:  50.56
Step :7900, avg score : -1.0, avg_cover_radius :  95.46, avg_sent_package:  49.72
Step :7925, avg score : -1.3, avg_cover_radius :  89.33, avg_sent_package:  49.34
Step :7950, avg score : -1.2, avg_cover_radius :  92.68, avg_sent_package:  48.94
Step :7975, avg score : -1.3, avg_cover_radius :  90.47, avg_sent_package:  50.52
Step :8000, avg score : -1.1, avg_cover_radius :  93.55, avg_sent_package:  50.27
Step :8025, avg score : -0.9, avg_cover_radius :  96.54, avg_sent_package:  50.43
Step :8050, avg score : -1.0, avg_cover_radius :  94.94, avg_sent_package:  51.18
Step :8075, avg score : -1.1, avg_cover_radius :  94.37, avg_sent_package:  49.53
Step :8100, avg score : -1.2, avg_cover_radius :  92.86, avg_sent_package:  48.96
Step :8125, avg score : -1.2, avg_cover_radius :  93.05, avg_sent_package:  51.13
Step :8150, avg score : -1.1, avg_cover_radius :  92.57, avg_sent_package:  49.33
Step :8175, avg score : -1.1, avg_cover_radius :  94.60, avg_sent_package:  50.19
Step :8200, avg score : -1.0, avg_cover_radius :  94.24, avg_sent_package:  49.10
Step :8225, avg score : -1.1, avg_cover_radius :  94.07, avg_sent_package:  49.52
Step :8250, avg score : -0.9, avg_cover_radius :  95.57, avg_sent_package:  50.57
Step :8275, avg score : -1.2, avg_cover_radius :  93.25, avg_sent_package:  50.48
Step :8300, avg score : -1.0, avg_cover_radius :  94.32, avg_sent_package:  49.12
Step :8325, avg score : -0.9, avg_cover_radius :  95.88, avg_sent_package:  50.08
Step :8350, avg score : -1.2, avg_cover_radius :  94.97, avg_sent_package:  50.05
